name,category
"Bridlicová podložka GN1/4 - 26,5x16,2 cm",Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka okrúhla - priemer 10 cm - 4ks,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka okrúhla - priemer 26 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka okrúhla - priemer 30 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka okrúhla - priemer 33 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka otočná - priemer 30 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka podlhovastá - 20x10 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka podlhovastá - 30x20 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka podlhovastá - 40x12 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka podlhovastá - 40x25 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka štvorcová - 10x10 cm - 4ks,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka štvorcová - 20x20 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Bridlicová podložka štvorcová - 30x30 cm,Stolový inventár | Riad na servírovanie | Bridlicové podložky
Brúsny kameň pre DOST elektrické nože na kebab,Pizza a kebab | Nože na kebab
Cedník 22,Kuchynské náradie | Odkvapkávače a cedníky
Cedník 26,Kuchynské náradie | Odkvapkávače a cedníky
Cedník kužeľ 20,Kuchynské náradie | Odkvapkávače a cedníky
Cedník kužeľ 24,Kuchynské náradie | Odkvapkávače a cedníky
Celofán do formovača FIMAR 100 mm,Príprava potravín | Formovače na hamburger
Celofán do formovača FIMAR 130 mm,Príprava potravín | Formovače na hamburger
Chafing Dish ELEGANCE s pántami GN1/1,Catering | Chafingy | Chafingy PROFI - Roll-Top
Chafing Dish Roll Top ELEGANCE 180°,Catering | Chafingy | Chafingy PROFI - Roll-Top
Chafing Dish Roll Top ELEGANCE 180° oválny,Catering | Chafingy | Chafingy PROFI - Roll-Top
Chafing dish 4 l,Catering | Chafingy | Chafingy EKO
"Chafing dish 7,5 l",Catering | Chafingy | Chafingy EKO
Chafing dish EKO - GN 1/1,Catering | Chafingy | Electrické chafingy
"Chafing dish GN1/1 ""ECO""",Catering | Chafingy | Chafingy EKO
"Chafing dish Roll-Top \""CLASSIC\""",Catering | Chafingy | Chafingy EKO
Chladená pizza vitrína 1200 - 5 xGN1/4,Chladiaci program | Pizza a sushi vitríny
Chladená pizza vitrína 1400 - 6xGN1/4,Chladiaci program | Pizza a sushi vitríny
Chladená pizza vitrína 1500 - 7xGN1/4,Chladiaci program | Pizza a sushi vitríny
Chladená pizza vitrína 1800 - 9xGN1/4,Chladiaci program | Pizza a sushi vitríny
Chladená pizza vitrína 2000 - 10xGN1/4,Chladiaci program | Pizza a sushi vitríny
Chladená stolová vitrína 200l - hranatá,Vitríny | Stolové chladené vitríny - hranaté
Chladená vaňa - nad agregátom,Bar a káva | Chladiace stoly na nápoje
Chladená výdajná vitrína - obslužné na 3x GN1/1,Nerezový nábytok | Modulárny výdaj | Chladené výdajné vitríny
Chladená výdajná vitrína - obslužné na 4x GN1/1,Nerezový nábytok | Modulárny výdaj | Chladené výdajné vitríny
Chladená výdajná vitrína – samoobslužná na 3x GN1/1,Nerezový nábytok | Modulárny výdaj | Chladené výdajné vitríny
Chladená výdajná vitrína – samoobslužné na 4x GN1/1,Nerezový nábytok | Modulárny výdaj | Chladené výdajné vitríny
Chladený banketový vozík EKO 15 x GN1/1,Catering | Prepravné vozíky | Chladené prepravné vozíky
Chladený banketový vozík EKO 15 x GN2/1,Catering | Prepravné vozíky | Chladené prepravné vozíky
Chladený bufetový stôl 3 x GN1/1,Nerezový nábytok | Bufetové stoly | Chladené bufetové stoly
Chladený výdajný stôl na GN nádoby na 2x GN1/1,Nerezový nábytok | Modulárny výdaj | Chladené výdajné stoly
Chladený výdajný stôl na GN nádoby na 3x GN1/1,Nerezový nábytok | Modulárny výdaj | Chladené výdajné stoly
Chladený výdajný stôl na GN nádoby na 4x GN1/1 (kópia),Nerezový nábytok | Modulárny výdaj | Chladené výdajné stoly
Chladiaca manžeta na víno - hrozno,Bar a káva | Chladenie fliaš
Chladiaca manžeta na víno - platinová,Bar a káva | Chladenie fliaš
Chladiaca manžeta na víno - strieborná,Bar a káva | Chladenie fliaš
Chladiaca manžeta na víno - čierna,Bar a káva | Chladenie fliaš
Chladiaca manžeta na šampanské - fľaše,Bar a káva | Chladenie fliaš
Chladiaca manžeta na šampanské - platinum,Bar a káva | Chladenie fliaš
Chladiaca manžeta na šampanské - čierna,Bar a káva | Chladenie fliaš
Chladiaca nádoba - mat čierna,Bar a káva | Chladenie fliaš
Chladiaca nádoba - nerezová,Bar a káva | Chladenie fliaš
Chladiaca predajná vitrína EVO - 2404x770x1395 mm,Vitríny | Predajné vitríny EVO
Chladiaca predajná vitrína EVOK - hranatá - 2405x763x1391 mm,Vitríny | Predajné vitríny EVOK
